sweep,case,arm,flow_n,dt_scale,step,iters
arms,vp_chaboche,nopred+ls,2,1,3,11
arms,vp_chaboche,nopred+ls,2,1,4,11
arms,vp_chaboche,nopred+ls,2,1,5,11
arms,vp_chaboche,nopred+ls,2,1,6,11
arms,vp_chaboche,nopred-ls,2,1,1,15
arms,vp_chaboche,nopred-ls,2,1,2,15
arms,vp_chaboche,nopred-ls,2,1,3,15
arms,vp_chaboche,nopred-ls,2,1,4,15
arms,vp_chaboche,nopred-ls,2,1,5,15
arms,vp_chaboche,nopred-ls,2,1,6,15
stiffness,vp_chaboche,pred-ls,2,1,1,15
stiffness,vp_chaboche,pred-ls,2,1,2,4
stiffness,vp_chaboche,pred-ls,2,1,3,3
stiffness,vp_chaboche,pred-ls,2,1,4,3
stiffness,vp_chaboche,pred-ls,2,1,5,3
stiffness,vp_chaboche,pred-ls,2,1,6,3
stiffness,vp_chaboche,pred-ls,4,1,1,17
stiffness,vp_chaboche,pred-ls,4,1,2,5
stiffness,vp_chaboche,pred-ls,4,1,3,3
stiffness,vp_chaboche,pred-ls,4,1,4,3
stiffness,vp_chaboche,pred-ls,4,1,5,2
stiffness,vp_chaboche,pred-ls,4,1,6,3
stiffness,vp_chaboche,pred-ls,8,1,1,17
stiffness,vp_chaboche,pred-ls,8,1,2,6
stiffness,vp_chaboche,pred-ls,8,1,3,4
stiffness,vp_chaboche,pred-ls,8,1,4,3
stiffness,vp_chaboche,pred-ls,8,1,5,2
stiffness,vp_chaboche,pred-ls,8,1,6,2
stiffness,vp_chaboche,pred-ls,12,1,1,18
stiffness,vp_chaboche,pred-ls,12,1,2,7
stiffness,vp_chaboche,pred-ls,12,1,3,4
stiffness,vp_chaboche,pred-ls,12,1,4,3
stiffness,vp_chaboche,pred-ls,12,1,5,2
stiffness,vp_chaboche,pred-ls,12,1,6,2
stiffness,vp_chaboche,pred-ls,20,1,1,17
stiffness,vp_chaboche,pred-ls,20,1,2,10
stiffness,vp_chaboche,pred-ls,20,1,3,3
