sweep,case,arm,flow_n,dt_scale,nbatch,nsteps,tfrac,max_its,status,iters_step1,median_iters_rest,imbalance,total_iters,iters_by_step,step1_overshoot,step1_contraction,theory_contraction,failed_step,n_failed_members,error
arms,cp_decoupled,nopred+ls,8,1,8,6,0.0606061,50,ok,21,15,1.4,102,21-15-15-16-15-20,28105.1,2.97772,2.91029,-1,-1,
arms,cp_decoupled,nopred-ls,8,1,8,6,0.0606061,50,ok,30,29,1.03448,173,30-29-29-29-28-28,4.71526e+11,2.91026,2.91029,-1,-1,
stiffness,cp_decoupled,pred-ls,2,1,8,6,0.0606061,50,ok,7,7,1,42,7-7-7-7-7-7,1,,4,-1,-1,
stiffness,cp_decoupled,pred-ls,4,1,8,6,0.0606061,50,ok,10,7,1.42857,46,10-8-7-7-7-7,1.39238,3.37173,3.16049,-1,-1,
stiffness,cp_decoupled,pred-ls,8,1,8,6,0.0606061,50,ok,19,6,3.16667,52,19-8-7-6-6-6,4518.69,2.91001,2.91029,-1,-1,
stiffness,cp_decoupled,pred-ls,12,1,8,6,0.0606061,50,ok,27,7,3.85714,63,27-9-7-7-6-7,9.34867e+06,2.84094,2.84094,-1,-1,
stiffness,cp_decoupled,pred-ls,20,1,8,6,0.0606061,50,ok,43,7,6.14286,84,43-12-7-8-7-7,2.80594e+13,2.78951,2.78951,-1,-1,
stiffness,cp_decoupled,nopred-ls,2,1,8,6,0.0606061,50,ok,13,12,1.08333,74,13-13-12-12-12-12,456763,3.92598,4,-1,-1,
stiffness,cp_decoupled,nopred-ls,4,1,8,6,0.0606061,50,ok,18,16,1.125,100,18-17-17-16-16-16,3.86947e+07,3.15881,3.16049,-1,-1,
stiffness,cp_decoupled,nopred-ls,8,1,8,6,0.0606061,50,ok,30,29,1.03448,173,30-29-29-29-28-28,4.71526e+11,2.91026,2.91029,-1,-1,
stiffness,cp_decoupled,nopred-ls,12,1,8,6,0.0606061,50,ok,45,40,1.125,240,45-41-39-41-40-34,7.16284e+15,2.84094,2.84094,-1,-1,
stiffness,cp_decoupled,nopred-ls,20,1,8,6,0.0606061,50,diverged,49,,,49,49,2.09428e+24,2.78951,2.78951,1,2,Nonlinear solve failed with status MAXITER
stepsize,cp_decoupled,pred+ls,8,1,8,6,0.0606061,50,ok,19,6,3.16667,52,19-8-7-6-6-6,1,1.05589,2.91029,-1,-1,
stepsize,cp_decoupled,pred+ls,8,2,8,6,0.121212,50,ok,14,7,2,49,14-8-6-7-7-7,1,2.88393,2.91029,-1,-1,
stepsize,cp_decoupled,pred+ls,8,5,8,6,0.30303,50,ok,20,8,2.5,61,20-9-8-8-8-8,1,2.90958,2.91029,-1,-1,
stepsize,cp_decoupled,pred+ls,8,10,8,6,0.606061,50,ok,25,11,2.27273,78,25-12-11-11-10-9,1,2.91022,2.91029,-1,-1,
stepsize,cp_decoupled,pred+ls,8,20,8,6,1.21212,50,diverged,67,,,67,67,1,1.03707,2.91029,1,1,Nonlinear solve failed with status MAXITER
stepsize,cp_decoupled,pred-ls,8,1,8,6,0.0606061,50,ok,19,6,3.16667,52,19-8-7-6-6-6,4518.69,2.91001,2.91029,-1,-1,
stepsize,cp_decoupled,pred-ls,8,2,8,6,0.121212,50,ok,17,7,2.42857,52,17-8-6-7-7-7,1.25989,2.91314,2.91029,-1,-1,
stepsize,cp_decoupled,pred-ls,8,5,8,6,0.30303,50,ok,20,8,2.5,61,20-9-8-8-8-8,1,2.90958,2.91029,-1,-1,
stepsize,cp_decoupled,pred-ls,8,10,8,6,0.606061,50,ok,48,10,4.8,100,48-12-10-11-10-9,486.349,2.65668,2.91029,-1,-1,
stepsize,cp_decoupled,pred-ls,8,20,8,6,1.21212,50,diverged,67,,,67,67,1,,2.91029,1,1,Nonlinear solve failed with status MAXITER
stepsize,cp_decoupled,nopred+ls,8,1,8,6,0.0606061,50,ok,21,15,1.4,102,21-15-15-16-15-20,28105.1,2.97772,2.91029,-1,-1,
stepsize,cp_decoupled,nopred+ls,8,2,8,6,0.121212,50,ok,21,22,0.954545,142,21-21-20-22-36-22,7.35616e+06,2.89983,2.91029,-1,-1,
stepsize,cp_decoupled,nopred+ls,8,5,8,6,0.30303,50,ok,29,32,0.90625,189,29-32-34-34-30-30,1.18548e+10,2.91,2.91029,-1,-1,
stepsize,cp_decoupled,nopred+ls,8,10,8,6,0.606061,50,ok,35,39,0.897436,252,35-41-38-36-63-39,3.18723e+12,2.91026,2.91029,-1,-1,
stepsize,cp_decoupled,nopred+ls,8,20,8,6,1.21212,50,diverged,55,63,0.873016,315,55-54-57-69-80,7.69446e+14,2.91028,2.91029,5,1,Nonlinear solve failed with status MAXITER
